epoch,train_loss,train_ce,train_kd,train_center,train_relation,train_embedding,train_logit_kd,train_topk,train_margin,train_anchor,train_teacher1_kd,train_teacher2_kd,teacher2_active,train_tdl,train_contrast,train_topkd,train_tckd,train_nckd,hard_ratio,avg_true_rank,train_acc,val_loss,val_acc,lr,time_s,val_true_class_margin
63,9.574356,2.4813,7.093056,14.056268,0.048283,0.649221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.992,0.548723,0.9724,0.00091991,32.0,3.205969
64,9.484054,2.482473,7.001581,13.873964,0.049095,0.645993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9914,0.516694,0.9772,0.00091694,32.7,3.352107
65,9.414295,2.474252,6.940043,13.75128,0.049083,0.64403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9924,0.622306,0.97,0.00091393,32.6,3.051
66,9.332681,2.472618,6.860064,13.59168,0.048894,0.642237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9942,0.542587,0.9796,0.00091087,32.5,3.324404
67,9.198818,2.462036,6.736782,13.345949,0.048688,0.638075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9946,0.686403,0.9676,0.00090776,32.1,3.036341
68,9.149148,2.46056,6.688588,13.249814,0.048636,0.636807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9957,0.979859,0.9436,0.0009046,32.4,2.371803
69,8.988519,2.445394,6.543125,12.959647,0.048342,0.633016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9945,0.613476,0.9736,0.0009014,31.6,3.18896
70,8.90746,2.442175,6.465285,12.804476,0.047753,0.630466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9942,0.701628,0.9736,0.00089815,32.5,2.993683
71,8.812435,2.445943,6.366492,12.607485,0.048324,0.627496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9957,0.575474,0.976,0.00089485,32.0,3.25347
72,8.724052,2.429461,6.294591,12.464139,0.047703,0.625218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9957,0.578668,0.9808,0.00089151,32.0,3.288982
