epoch,train_loss,train_ce,train_kd,train_relation,train_embedding,train_logit_kd,train_topk,train_margin,train_anchor,train_teacher1_kd,train_teacher2_kd,teacher2_active,train_tdl,train_contrast,train_topkd,train_tckd,train_nckd,hard_ratio,avg_true_rank,train_acc,val_loss,val_acc,lr,time_s,val_true_class_margin
55,4.824309,2.564822,2.259487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.055055,0.275554,0.0,0.0,1.0,2.591541,0.994,6.46e-06,20.5,2.199319
56,4.828266,2.574658,2.253608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.055262,0.274793,0.0,0.0,1.0,2.586378,0.994,5.96e-06,20.5,2.203205
57,4.822208,2.562036,2.260172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.054946,0.275653,0.0,0.0,1.0,2.58951,0.9952,5.48e-06,20.7,2.200931
58,4.822073,2.566122,2.255951,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.055068,0.27511,0.0,0.0,1.0,2.591169,0.994,5.02e-06,20.6,2.1996
59,4.823423,2.562675,2.260748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.054954,0.275724,0.0,0.0,0.9998,2.59229,0.994,4.58e-06,20.4,2.199747
60,4.821888,2.56656,2.255328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.055097,0.275029,0.0,0.0,1.0,2.596239,0.994,4.16e-06,20.6,2.193246
61,4.812971,2.556459,2.256512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05481,0.275213,0.0,0.0,0.9998,2.589387,0.9952,3.77e-06,20.7,2.195451
62,4.816673,2.56092,2.255753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.054955,0.2751,0.0,0.0,1.0,2.588747,0.9952,3.4e-06,20.5,2.204325
63,4.820592,2.561852,2.258739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.054937,0.275475,0.0,0.0,0.9998,2.591891,0.9952,3.05e-06,20.7,2.196215
64,4.81052,2.547488,2.263032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.054572,0.276058,0.0,0.0,1.0,2.592493,0.9952,2.73e-06,20.6,2.198355
65,4.821263,2.558863,2.262399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.054865,0.275942,0.0,0.0,1.0,2.577439,0.994,2.44e-06,20.6,2.206934
66,4.809169,2.553197,2.255972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.054717,0.275157,0.0,0.0,1.0,2.595158,0.994,2.17e-06,20.6,2.190721
67,4.818279,2.564965,2.253314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.055007,0.274788,0.0,0.0,1.0,2.590374,0.994,1.92e-06,20.6,2.198484
68,4.813955,2.561214,2.252741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.054938,0.274725,0.0,0.0,0.9998,2.586244,0.994,1.71e-06,20.6,2.20245
69,4.809862,2.552304,2.257558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.054705,0.275357,0.0,0.0,1.0,2.588141,0.994,1.52e-06,20.3,2.201675
70,4.822606,2.569582,2.253023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.055189,0.274729,0.0,0.0,1.0,2.591499,0.994,1.36e-06,20.6,2.201344
71,4.804837,2.542485,2.262352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.054419,0.275992,0.0,0.0,0.9998,2.595508,0.9952,1.23e-06,20.6,2.194636
72,4.816155,2.563816,2.252339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.054995,0.274668,0.0,0.0,1.0,2.591066,0.9952,1.13e-06,20.5,2.195303
73,4.813358,2.560232,2.253127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.054921,0.274776,0.0,0.0,0.9998,2.588911,0.994,1.06e-06,20.6,2.202563
74,4.816851,2.560867,2.255984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.054957,0.275128,0.0,0.0,0.9998,2.598016,0.994,1.01e-06,20.5,2.191748
75,4.807781,2.558227,2.249554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.054841,0.274339,0.0,0.0,1.0,2.587231,0.994,1e-06,20.7,2.204416
