epoch,train_loss,train_ce,train_kd,train_center,train_relation,train_embedding,train_logit_kd,train_topk,train_margin,train_anchor,train_teacher1_kd,train_teacher2_kd,teacher2_active,train_tdl,train_contrast,train_topkd,train_tckd,train_nckd,hard_ratio,avg_true_rank,weighted_center,weighted_feature,weighted_relation,center_weight_effective,feature_weight_effective,relation_weight_effective,grad_norm_ce,grad_norm_center,grad_norm_feature,grad_norm_relation,adaptive_stage,icd_sdc_active,icd_positive_pairs,icd_bank_occupancy,icd_true_class_margin,train_acc,val_loss,val_acc,lr,time_s,val_true_class_margin
37,2.305919,18.339172,0.472002,0.0,0.0,0.472002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,1.0,10.84136905,0.946,0.310632,0.9496,0.00097879,31.7,13.638922
38,2.2048,17.429471,0.461853,0.0,0.0,0.461853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,1.0,11.57247024,0.9561,0.257683,0.958,0.0009772,31.5,15.23323
39,2.135862,16.799685,0.455893,0.0,0.0,0.455893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,1.0,12.0530506,0.9609,0.288023,0.946,0.00097555,31.5,13.015252
40,2.088389,16.374107,0.450978,0.0,0.0,0.450978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,1.0,12.37418155,0.9635,0.217275,0.9628,0.00097385,29.7,16.271875
41,2.002307,15.611513,0.441156,0.0,0.0,0.441156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,1.0,13.00610119,0.9696,0.241264,0.9544,0.0009721,29.7,15.054948
42,1.942476,15.090993,0.433376,0.0,0.0,0.433376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,1.0,13.4296131,0.9717,0.181362,0.9628,0.00097029,29.5,16.888882
43,1.915296,14.853019,0.429994,0.0,0.0,0.429994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,1.0,13.61034226,0.9728,0.149622,0.9748,0.00096842,29.8,17.703887
44,1.837613,14.171002,0.420513,0.0,0.0,0.420513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,1.0,14.16227679,0.978,0.260179,0.9568,0.0009665,29.7,14.665791
45,1.823216,14.053283,0.417888,0.0,0.0,0.417888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,1.0,14.2719494,0.9786,0.164639,0.9784,0.00096452,29.7,17.604417
46,1.772475,13.620969,0.410378,0.0,0.0,0.410378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,1.0,14.63936012,0.9841,0.123157,0.9844,0.00096249,29.7,18.56894
47,1.740938,13.359588,0.404979,0.0,0.0,0.404979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,1.0,14.86190476,0.9835,0.170875,0.9796,0.00096041,29.7,17.354418
48,1.699314,12.992694,0.400045,0.0,0.0,0.400045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,1.0,15.20111607,0.9862,0.233751,0.9652,0.00095827,29.7,15.875445
49,1.654052,12.591525,0.394899,0.0,0.0,0.394899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,1.0,15.53482143,0.9882,0.110302,0.9856,0.00095608,29.7,20.381534
