epoch,train_loss,train_ce,train_kd,train_center,train_relation,train_embedding,train_logit_kd,train_topk,train_margin,train_anchor,train_teacher1_kd,train_teacher2_kd,teacher2_active,train_tdl,train_contrast,train_topkd,train_tckd,train_nckd,hard_ratio,avg_true_rank,train_acc,val_loss,val_acc,lr,time_s,val_true_class_margin
59,7.380656,2.258152,5.122504,10.120243,0.041517,0.603067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9996,0.406367,0.994,0.0002469,31.6,4.123647
60,7.345442,2.258321,5.087122,10.04968,0.041437,0.602098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9996,0.404998,0.9928,0.00024505,31.8,4.100517
61,7.259952,2.257306,5.002646,9.881288,0.041448,0.599293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9997,0.409118,0.9928,0.00024317,31.9,4.184892
62,7.206518,2.254892,4.951626,9.779411,0.042004,0.5982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.396794,0.994,0.00024127,32.0,4.190889
63,7.17162,2.254011,4.91761,9.711745,0.04132,0.596709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9997,0.413422,0.9916,0.00023935,32.0,4.091173
64,7.101397,2.251954,4.849443,9.575827,0.041463,0.594566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9997,0.408163,0.994,0.0002374,32.1,4.183601
65,7.082513,2.252185,4.830329,9.537698,0.041583,0.594007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9996,0.398508,0.9916,0.00023543,32.6,4.178798
66,7.028179,2.253985,4.774195,9.425669,0.041715,0.592746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9996,0.399394,0.9952,0.00023343,32.6,4.204857
67,7.00658,2.254363,4.752218,9.381934,0.041605,0.591702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9997,0.383447,0.994,0.00023142,32.5,4.228689
68,6.990665,2.258494,4.732172,9.341914,0.041923,0.591185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9997,0.394035,0.9916,0.00022938,32.3,4.203281
69,6.900086,2.252908,4.647178,9.172452,0.041723,0.588659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999,0.389244,0.9928,0.00022733,32.6,4.218316
70,6.827645,2.24645,4.581195,9.04089,0.041473,0.586759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999,0.40091,0.9952,0.00022525,31.6,4.189928
71,6.826849,2.254972,4.571877,9.022366,0.041432,0.586217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9994,0.397301,0.994,0.00022315,32.5,4.187899
72,6.724583,2.248823,4.47576,8.830618,0.041038,0.583988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9997,0.408407,0.9916,0.00022104,32.0,4.175824
73,6.711535,2.253048,4.458487,8.79624,0.041369,0.582988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9993,0.389589,0.9928,0.00021891,32.0,4.229444
74,6.690517,2.25357,4.436947,8.753241,0.041733,0.582399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999,0.407131,0.9928,0.00021676,32.3,4.205519
75,6.666665,2.252403,4.414262,8.708077,0.041569,0.581449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999,0.402877,0.994,0.00021459,32.4,4.182675
76,6.572052,2.250131,4.321921,8.52383,0.041367,0.57938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9997,0.402022,0.9952,0.00021241,32.7,4.217354
77,6.5367,2.248748,4.287952,8.456138,0.041562,0.578051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999,0.397598,0.994,0.00021021,31.8,4.234963
78,6.521349,2.251557,4.269792,8.419897,0.041803,0.577534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9997,0.397501,0.994,0.00020799,32.2,4.234956
79,6.427129,2.240593,4.186535,8.253941,0.041268,0.575013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9996,0.407339,0.9952,0.00020576,32.4,4.222332
80,6.434819,2.247217,4.187602,8.25604,0.041941,0.574846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9996,0.391724,0.994,0.00020351,32.1,4.248287
81,6.387902,2.245542,4.14236,8.165824,0.041139,0.573909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9996,0.40819,0.9952,0.00020125,32.6,4.207882
82,6.340944,2.242457,4.098487,8.078334,0.04163,0.572383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9997,0.411357,0.9928,0.00019898,32.2,4.20901
83,6.328533,2.243666,4.084867,8.051195,0.041393,0.571997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.40952,0.9964,0.0001967,32.5,4.203752
84,6.295076,2.246777,4.048299,7.978235,0.041674,0.57098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999,0.393026,0.9952,0.0001944,32.6,4.241405
85,6.198298,2.239204,3.959094,7.800435,0.041102,0.568217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999,0.416023,0.994,0.00019209,32.2,4.171465
86,6.16657,2.241341,3.925228,7.732876,0.041414,0.567196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999,0.387969,0.9952,0.00018977,32.2,4.258398
87,6.174836,2.248102,3.926734,7.735956,0.040989,0.567063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9996,0.425955,0.9952,0.00018745,32.3,4.147261
88,6.134792,2.247311,3.887481,7.657638,0.041411,0.565911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999,0.401466,0.9928,0.00018511,32.0,4.214803
89,6.112077,2.244414,3.867663,7.618121,0.040905,0.565573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999,0.391928,0.9964,0.00018276,32.4,4.284197
90,6.035722,2.241595,3.794128,7.471512,0.041154,0.563138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999,0.398312,0.9928,0.0001804,32.1,4.239635
91,6.057796,2.247243,3.810553,7.504156,0.041777,0.563858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9997,0.3926,0.9928,0.00017804,32.3,4.234116
92,5.971634,2.238123,3.733511,7.350691,0.040654,0.561333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9997,0.395809,0.994,0.00017567,32.3,4.283998
93,5.986978,2.243162,3.743816,7.37119,0.0411,0.561657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999,0.391781,0.994,0.00017329,32.4,4.248845
94,5.878849,2.238759,3.640091,7.164399,0.040419,0.558701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9997,0.39044,0.994,0.00017091,32.1,4.309564
